Tracks,ProcessingTimeLimitSecs,ProcessingTimeAvgSecs,ProcessingTimeMinSecs,ProcessingTimeMaxSecs,CPUPer,DeltaUserCPUTimeSecs,DeltaKernelCPUTimeSecs,DeltaWallTimeSecs,ResidentMemoryMB,BuffSize,SampleRate,BitDepth,Success
1,0.000667,0.000026,0.000019,0.000407,0.956169,0.062552,0.004681,0.070315,11.235328,64,96000,32,true
2,0.000667,0.000037,0.000028,0.000341,1.054275,0.034524,0.001470,0.034141,14.258176,64,96000,32,true
3,0.000667,0.000053,0.000036,0.000347,1.079764,0.035365,0.001469,0.034113,17.309696,64,96000,32,true
4,0.000667,0.000066,0.000059,0.000425,1.091536,0.035768,0.001449,0.034096,20.353024,64,96000,32,true
5,0.000667,0.000085,0.000338,0.000913,1.102694,0.037704,0.001553,0.035601,23.392256,64,96000,32,true
6,0.000667,0.000084,0.000075,0.000414,1.127397,0.037278,0.001235,0.034161,26.435584,64,96000,32,true
7,0.000667,0.000106,0.000095,0.000435,1.152945,0.037861,0.001519,0.034156,29.503488,64,96000,32,true
8,0.000667,0.000114,0.000098,0.000456,1.165101,0.038322,0.001486,0.034167,32.550912,64,96000,32,true
9,0.000667,0.000122,0.000119,0.000454,1.177617,0.038751,0.001414,0.034107,35.631104,64,96000,32,true
10,0.000667,0.000136,0.000126,0.000473,1.200463,0.039335,0.001656,0.034146,38.694912,64,96000,32,true
11,0.000667,0.000141,0.000126,0.000449,1.189529,0.039474,0.001196,0.034190,41.750528,64,96000,32,true
12,0.000667,0.000152,0.000279,0.000521,1.201815,0.040161,0.001417,0.034596,44.818432,64,96000,32,true
13,0.000667,0.000169,0.000170,0.000503,1.249474,0.041491,0.001276,0.034228,47.878144,64,96000,32,true
14,0.000667,0.000183,0.000156,0.000559,1.265008,0.041892,0.001432,0.034248,50.925568,64,96000,32,true
15,0.000667,0.000188,0.000326,0.000590,1.249456,0.042564,0.001638,0.035377,53.972992,64,96000,32,true
16,0.000667,0.000191,0.000162,0.000569,1.286174,0.042696,0.001241,0.034161,57.024512,64,96000,32,true
17,0.000667,0.000219,0.000221,0.000616,1.321566,0.043663,0.001561,0.034220,60.100608,64,96000,32,true
18,0.000667,0.000244,0.000279,0.000631,1.352507,0.045246,0.001264,0.034388,63.164416,64,96000,32,true
19,0.000667,0.000252,0.000246,0.000633,1.365063,0.045391,0.001417,0.034290,66.215936,64,96000,32,true
20,0.000667,0.000274,0.000220,0.000652,1.396584,0.046417,0.001497,0.034308,69.287936,64,96000,32,true
21,0.000667,0.000266,0.000230,0.000678,1.375963,0.046749,0.001495,0.035062,72.331264,64,96000,32,true
22,0.000667,0.000270,0.000266,0.000643,1.388246,0.046234,0.001362,0.034285,75.374592,64,96000,32,true
23,0.000667,0.000298,0.000302,0.000650,1.421513,0.048386,0.001529,0.035114,78.442496,64,96000,32,true
24,0.000667,0.000287,0.000278,0.000672,1.410276,0.048203,0.001285,0.035091,81.498112,64,96000,32,true
25,0.000667,0.000333,0.000301,0.000807,1.454651,0.050851,0.001611,0.036065,84.553728,64,96000,32,true
26,0.000667,0.000317,0.000313,0.000706,1.455179,0.050254,0.000897,0.035151,87.613440,64,96000,32,true
27,0.000667,0.000368,0.000352,0.000857,1.500511,0.052831,0.001522,0.036223,90.689536,64,96000,32,true
28,0.000667,0.000342,0.000318,0.000781,1.492625,0.051330,0.001294,0.035256,93.736960,64,96000,32,true
29,0.000667,0.000348,0.000361,0.000746,1.488974,0.051186,0.001345,0.035280,96.813056,64,96000,32,true
30,0.000667,0.000393,0.000655,0.000790,1.526158,0.054492,0.001460,0.036662,99.840000,64,96000,32,true
31,0.000667,0.000410,0.000391,0.000777,1.574019,0.054317,0.001238,0.035295,102.899712,64,96000,32,true
32,0.000667,0.000447,0.000452,0.000843,1.611354,0.057218,0.001308,0.036321,105.963520,64,96000,32,true
33,0.000667,0.000432,0.000414,0.000814,1.618262,0.056152,0.001217,0.035451,109.019136,64,96000,32,true
34,0.000667,0.000467,0.000434,0.000931,1.635928,0.058361,0.001352,0.036501,112.144384,64,96000,32,true
35,0.000667,0.000469,0.000535,0.000943,1.648732,0.059134,0.001264,0.036633,115.216384,64,96000,32,true
36,0.000667,0.000474,0.000483,0.000854,1.668617,0.058084,0.001227,0.035545,118.267904,64,96000,32,true
37,0.000667,0.000507,0.000507,0.001002,1.679146,0.061714,0.001259,0.037503,121.331712,64,96000,32,true
38,0.000667,0.000518,0.000510,0.001038,1.727270,0.061034,0.001279,0.036076,124.395520,64,96000,32,true
39,0.000667,0.000537,0.000563,0.000936,1.716323,0.064131,0.001230,0.038082,127.455232,64,96000,32,true
40,0.000667,0.000546,0.000512,0.000909,1.701461,0.062237,0.001350,0.037372,130.514944,64,96000,32,true
41,0.000667,0.000566,0.000553,0.000977,1.694211,0.067586,0.001160,0.040577,133.558272,64,96000,32,true
42,0.000667,0.000578,0.000561,0.001036,1.671865,0.071509,0.001172,0.043473,136.634368,64,96000,32,true
43,0.000667,0.000611,0.000606,0.001093,1.636045,0.077138,0.001402,0.048006,139.681792,64,96000,32,true
44,0.000667,0.000655,0.000686,0.001612,1.582556,0.085596,0.001462,0.055011,142.753792,64,96000,32,true
45,0.000667,0.000641,0.000612,0.001388,1.614076,0.083216,0.001431,0.052443,145.805312,64,96000,32,true
46,0.000667,0.000675,0.000643,0.001270,1.556034,0.091984,0.001697,0.060205,148.860928,64,96000,32,true
47,0.000667,0.000701,0.000646,0.001316,1.520480,0.098184,0.002081,0.065943,151.928832,64,96000,32,false
48,0.000667,0.000712,0.000668,0.001283,1.529075,0.101689,0.001730,0.067635,154.972160,64,96000,32,false
49,0.000667,0.000723,0.000705,0.001452,1.544570,0.100526,0.001879,0.066300,158.040064,64,96000,32,false
50,0.000667,0.000742,0.000690,0.001393,1.526010,0.105281,0.002202,0.070434,161.107968,64,96000,32,false
51,0.000667,0.000755,0.000705,0.001701,1.528952,0.106373,0.001993,0.070876,164.167680,64,96000,32,false
52,0.000667,0.000772,0.000778,0.001452,1.521606,0.110867,0.002024,0.074192,167.215104,64,96000,32,false
53,0.000667,0.000783,0.000719,0.001299,1.502437,0.113378,0.002221,0.076941,170.278912,64,96000,32,false
54,0.000667,0.000802,0.000756,0.001354,1.505110,0.116179,0.002511,0.078858,173.342720,64,96000,32,false
55,0.000667,0.000820,0.000789,0.001595,1.508865,0.117827,0.002588,0.079805,176.390144,64,96000,32,false
56,0.000667,0.000834,0.000792,0.001826,1.516930,0.119801,0.002233,0.080448,179.445760,64,96000,32,false
57,0.000667,0.000849,0.000866,0.001797,1.521074,0.121497,0.002107,0.081261,182.505472,64,96000,32,false
58,0.000667,0.000870,0.000834,0.001800,1.527420,0.123662,0.002257,0.082439,185.552896,64,96000,32,false
59,0.000667,0.000869,0.000842,0.001416,1.525716,0.123452,0.002238,0.082381,188.604416,64,96000,32,false
60,0.000667,0.000888,0.000827,0.001629,1.525567,0.124628,0.002348,0.083232,191.655936,64,96000,32,false
61,0.000667,0.000896,0.000963,0.001497,1.532694,0.126099,0.002586,0.083960,194.711552,64,96000,32,false
62,0.000667,0.000912,0.000881,0.001610,1.539470,0.127881,0.002255,0.084533,197.771264,64,96000,32,false
63,0.000667,0.000928,0.000863,0.001480,1.543583,0.129435,0.002333,0.085365,200.835072,64,96000,32,false
64,0.000667,0.000947,0.000947,0.001654,1.548252,0.131093,0.002357,0.086194,203.890688,64,96000,32,false
